ID NOMBRE SUELDO
10005,Giffer,15852.28
19760,Bryana,1502.74
16742,Faythe,4011.78
12753,Elka,28158.74
12181,Alidia,2493.76
13614,Gifford,21342.64
11355,Jasun,27976.08
12448,Brannon,3987.47
12738,Laurens,44683.31
14710,Roxy,20498.19
16670,Athene,27938.28
15767,Aylmar,32500.90
16036,Vladimir,32119.81
17677,Dewain,785.20
11838,Ebeneser,30748.82
18595,Reeta,47068.95
11505,Denise,38934.95
12500,Carolann,28407.46
13733,Briggs,34616.10
13751,Hedvig,27359.63
14211,Valenka,10480.67
11078,Faunie,31900.10
12867,Brooke,15815.23
18050,Leupold,43058.28
15114,Quent,46098.70
13223,Cesya,37003.49
13364,Daffy,38239.82
14541,Levi,45643.83
19648,Quinta,26861.00
18157,Octavia,28369.17
15789,Fields,13578.74
16268,Jayson,45103.50
19272,Merralee,41862.05
15712,Clive,44866.07
13620,Christiana,28457.27
19554,Robinette,25420.14
16825,Geraldine,49006.25
19364,Godfree,7032.19
11094,Claribel,15272.38
13977,Roxie,32446.91
12023,Nahum,22819.19
11015,Roosevelt,27221.87
12751,Morlee,4853.81
16421,Leonhard,32591.42
18716,Martie,16610.60
17059,Terri-jo,25382.59
12085,Garret,19877.25
11435,Bernice,23451.63
12926,Sonnie,2619.47
15382,Sianna,5045.14
